"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
6732757,"Gregorian Chants",1,46,93247,"Antifona Al Magnificat: O Sapienta","Meditation with Gregorian Chants",605979
6732758,"Gregorian Chants",2,105,93247,"Inno: Conditor","Meditation with Gregorian Chants",605979
6737329,"Miley Cyrus",2,202,43112,"Party In The U.S.A.","The Time Of Our Lives",606391
6737351,"Miley Cyrus",8,235,43112,"The Climb","The Time Of Our Lives",606391
6754395,"Salim-Sulaiman",5,260,1459392,"Kurbaan Hua","Kurbaan (Original Motion Picture Soundtrack)",607630
6763662,"Chris Tomlin",6,231,20071,"Joy to the World (Unspeakable Joy)","Glory In The Highest: Christmas Songs Of Worship",608737
6764761,"Kraftwerk",5,132,983,"Metal On Metal (2009 Remastered Version)","Trans Europe Express",608834
6764769,"Kraftwerk",1,373,983,"The Robots (2009 Remastered Version)","The Man Machine",608835
6764780,"Kraftwerk",5,533,983,"Neon Lights (2009 Remastered Version)","The Man Machine",608835
6766444,"Faith No More",6,294,5036,"Epic","This Is It: The Best of Faith No More (US)",608946
6766455,"Faith No More",13,222,5036,"Be Aggressive","This Is It: The Best of Faith No More (US)",608946
6787009,"Train",11,205,52118,"Marry Me","Save Me, San Francisco",610235
6787834,"La Oreja de Van Gogh",7,265,101631,"Jueves","Nuestra Casa a la Izquierda del Tiempo",610425
6788006,"Foo Fighters",2,256,8293,"Best Of You","Greatest Hits",610252
6788010,"Foo Fighters",4,269,8293,"The Pretender","Greatest Hits",610252
6788013,"Foo Fighters",5,260,8293,"My Hero","Greatest Hits",610252
6788015,"Foo Fighters",6,238,8293,"Learn to Fly","Greatest Hits",610252
6806879,"Tiësto",3,467,8669,"Traffic","Just Be",612270
6828153,"&quot;Weird Al&quot; Yankovic",3,197,39962,"Eat It","The Essential Weird Al Yankovic",614110
6828182,"&quot;Weird Al&quot; Yankovic",212,223,39962,"Hardware Store","The Essential Weird Al Yankovic",614110
6857434,"The Beach Boys",46,125,364,"Barbara Ann","Holidays &amp; Hits",617214
6865379,"Katrina &amp; The Waves",1,216,19109,"Walking On Sunshine","Walking On Sunshine",618079
6868318,"Rammstein",1,319,845,"RAMMLIED","LIEBE IST FüR ALLE DA",618365
6876721,"Lady GaGa",1,295,237973,"Bad Romance","Bad Romance",619198
6877123,"The B-52's",1,247,53,"Roam [Edit]","Roam [Edit] / Bushfire [Digital 45]",619238
6887767,"Alain Chamfort",215,216,18764,"Madona, Madona","Orginal Album Classics Vol1",620086
6901473,"Michael Bublé",13,275,908,"Whatever It Takes (with Ron Sexsmith)","Crazy Love",621491
6915606,"Kraftwerk",9,299,983,"Metal On Metal (2009 Remastered Version)","The Mix",622906
6918208,"Elvis Presley",10,157,2200,"Mama Liked the Roses","Christmas With Elvis",623266
6923550,"Les Rita Mitsouko",4,370,16343,"Marcia Baila","Acoustiques",623685
6926392,"Glee Cast",8,179,354421,"Maybe This Time (Glee Cast Version feat. Kristin Chenoweth)","Glee: The Music, Volume 1",623940
6929584,"Casting Crowns",4,266,83527,"Joyful, Joyful","Until The Whole World Hears",624184
6929586,"Casting Crowns",6,280,83527,"Glorious Day (Living He Loved Me)","Until The Whole World Hears",624184
6930057,"Michael Jackson",1,363,88,"Wanna Be Startin' Somethin'","Michael Jackson's This Is It",624250
6930058,"Michael Jackson",2,339,88,"Jam (Remastered Version)","Michael Jackson's This Is It",624250
6930059,"Michael Jackson",3,284,88,"They Don't Care About Us (Remastered Version)","Michael Jackson's This Is It",624250
6930060,"Michael Jackson",4,245,88,"Human Nature","Michael Jackson's This Is It",624250
6930061,"Michael Jackson",5,251,88,"Smooth Criminal (Remastered Radio Edit)","Michael Jackson's This Is It",624250
6930065,"Michael Jackson",9,358,88,"Thriller","Michael Jackson's This Is It",624250
6930066,"Michael Jackson",10,258,88,"Beat It (Single Version)","Michael Jackson's This Is It",624250
6930069,"Michael Jackson",13,293,88,"Billie Jean (Single Version)","Michael Jackson's This Is It",624250
6930070,"Michael Jackson",14,319,88,"Man in the Mirror (Remastered Version)","Michael Jackson's This Is It",624250
6930076,"Michael Jackson",204,193,88,"Planet Earth (Poem)","Michael Jackson's This Is It",624250
6944488,"Keane",2,220,1,"Bend &amp; Break","Hopes and Fears",625642
6951511,"Black Eyed Peas",1,226,263,"Meet Me Halfway","Meet Me Halfway",625705
6952174,"Ennio Morricone",202,189,3310,"C'era una volta il west (Edda's version)","Ennio Morricone Gold Edition - 50 Movie Themes Hits",625893
6952211,"Ennio Morricone",217,209,3310,"Chi mai","Ennio Morricone Gold Edition - 50 Movie Themes Hits",625893
6957044,"Limahl",1,321,18804,"Never Ending Story (12&quot; Mix)","Never Ending Story",626713
6961698,"Joss Stone",5,306,233,"4 and 20","Colour Me Free",627195
6986983,"The Rolling Stones",3,213,522,"Sad Sad Sad","Flashpoint",629287
6987538,"Taylor Swift",8,294,253545,"Fifteen","Fearless",629304
6997453,"Carbon Based Lifeforms",3,413,176822,"Photosynthesis","World Of Sleepers",630566
6998411,"D'banj",9,305,469604,"Mabolowowon","No Long Thing",630614
7001800,"OneRepublic",2,238,435254,"All The Right Moves","Waking Up",630873
7001805,"OneRepublic",6,253,435254,"Good Life","Waking Up",630873
7001809,"OneRepublic",10,252,435254,"Marchin On","Waking Up",630873
7005856,"The Passionate Orchestra",4,204,470124,"I Love You...Only You","Passionate Moments",631236
7033734,"Bee Gees",1,256,4736,"You Should Be Dancing","The Ultimate Bee Gees",633984
7033736,"Bee Gees",2,283,4736,"Stayin' Alive","The Ultimate Bee Gees",633984
7033789,"Bee Gees",21,181,4736,"To Love Somebody","The Ultimate Bee Gees",633984
7041249,"Europe",16,243,44547,"Words Of Wisdom (Album Version)","The Collection",634131
7053829,"Justin Bieber",2,257,374352,"Favorite Girl","My World",635452
7061076,"Enigma",1,138,14511,"The Voice Of Enigma","MCMXC, A.D.",637020
7063271,"Bloodhound Gang",3,262,10988,"The Bad Touch","Cool - Rock",637211
7066368,"Celia Cruz",12,253,35225,"La Negra Tiene Tumbao","La Reina Y Sus Amigos",636054
7067903,"Ke$ha",1,200,804741,"TiK ToK","TiK ToK",636938
7080634,"Shakira",10,188,21239,"Loba","She Wolf",637668
7080639,"Shakira",12,221,21239,"Años Luz","She Wolf",637668
7086331,"El Canto del Loco",3,205,3583,"Nada de Nada","Por Mi y por Todos Mis Compañeros",638068
7086630,"Enigma",1,257,14511,"Sadeness - Part I (Radio Edit)","The Platinum Collection",638129
7086635,"Enigma",3,205,14511,"Principles Of Lust (Radio Edit)","The Platinum Collection",638129
7098275,"Marko Nastic",3,358,359951,"Ms Dead road","Shadowfax volume 1",639408
7110399,"London Symphony Orchestra",202,328,2308,"Sleeping Beauty, Op.66 (1993 Remastered Version), Act II, Scene 1: The Vision, 15. Pas d'action:: Pas d'action (Aurore et Florimund (Andante cantabile)","Tchaikovsky: Sleeping Beauty",640978
7119488,"Marko Nastic",2,419,359951,"Cava","Cava",642009
7122597,"Gerard FM",2,427,478579,"Repetitive","Repetitive",642296
7128746,"Lady GaGa",1,294,237973,"Bad Romance","The Fame Monster",642888
7128747,"Lady GaGa",2,274,237973,"Alejandro","The Fame Monster",642888
7128752,"Lady GaGa",7,234,237973,"So Happy I Could Die","The Fame Monster",642888
7128756,"Lady GaGa",203,208,237973,"Paparazzi","The Fame Monster",642888
7128757,"Lady GaGa",204,237,237973,"Poker Face","The Fame Monster",642888
7140006,"E-40",4,265,8382,"Outsmart the Po Po's","Federal (Original Master Peace)",644151
7155371,"Lifelover",3,145,345155,"Major Fuck Off","Dekadens",645872
7155556,"Rihanna",4,241,10653,"Stupid In Love","Rated R",645884
7155577,"Rihanna",8,223,10653,"Rude Boy","Rated R",645884
7180503,"Smooth Groove Masters",17,220,482594,"Easy ( Commodores )","Chilled Dinner Party Moods 2 - 36 Favourite Sax and Guitar Smooth Grooves",648123
7217668,"George Wright",2,159,182944,"Chit Chat Polka","At The Mighty Wurlitzer Pipe Organ Vol. 3 (Digitally Remastered)",651542
7274526,"Abraham Mateo",12,225,489805,"Cuando Tú No Estas","Abraham Mateo",656651
7283787,"Limbonic Art",9,437,182216,"Misanthropic Spectrum","In Abhorrence Dementia",657495
7316700,"Best Relaxing SPA Music",10,268,492441,"Spa Music","SPA Hotel - Ultimate SPA and Wellness Relaxation",660225
7327993,"Saviour Machine",2,234,200240,"Force Of The Entity","Saviour Machine",661246
7328002,"Saviour Machine",6,328,200240,"Son Of The Rain","Saviour Machine",661246
7352707,"Elvis Presley",305,144,2200,"Viva Las Vegas","Elvis 75 - Good Rockin' Tonight",662760
7352861,"Alicia Keys",4,250,1237,"Try Sleeping with a Broken Heart","The Element Of Freedom",662632
7352863,"Alicia Keys",6,245,1237,"That's How Strong My Love Is","The Element Of Freedom",662632
7352867,"Alicia Keys",10,195,1237,"Put It In A Love Song","The Element Of Freedom",662632
7359297,"Mozart",2,213,114941,"Classical Yoga Posture - Fluid and Elegant","Classical Music for Meditation and Yoga",663975
7378639,"Lene Alexandra",1,208,425357,"Sexy Naughty Bitchy Me","Sexy Naughty Bitchy Me (Single)",665736
7381128,"Enya",6,170,4099,"The River Sings","The Very Best Of Enya",666188
7381137,"Enya",9,220,4099,"Only Time (Original Version)","The Very Best Of Enya",666188
7381146,"Enya",11,248,4099,"Flora's Secret","The Very Best Of Enya",666188
7381168,"Enya",16,240,4099,"Anywhere Is (2009 Remastered Version)","The Very Best Of Enya",666188
7381171,"Enya",17,269,4099,"Orinoco Flow (2009 Remastered Version)","The Very Best Of Enya",666188
7381185,"Enya",21,240,4099,"Caribbean Blue (2009 Remastered Version)","The Very Best Of Enya",666188
7396389,"The Black Keys",10,161,30198,"Act Nice and Gentle","Rubber Factory",667223
7398818,"Jim Ed Brown",1,161,41420,"Angel's Sunday","The Best Of Jim Ed Brown",667434
7400369,"Kitaro",1,391,171241,"Winds Blow Over the Hill","Kitaro: Digital Box Set",667539
7400668,"Bellowhead",1,226,50692,"Unclothed Nocturnal Manuscript Crisis","Bellowhead presents Umbrellowhead",667557
7401229,"Etta James",15,268,1821,"Oh Happy Day","25 All-Time Greatest Hits",667591
7413208,"O-Zone",3,215,1181,"Dragostea din tei","Disco Zone",668687
7425416,"Korn",13,219,14530,"When Will This End (Album Version)","Take A Look In The Mirror",669560
7444875,"Lene Alexandra",1,210,425357,"Sexy, Naughty, Bitchy Me","Sexy, Naughty, Bitchy Me",671664
7450281,"Youssou N'Dour",4,306,530,"7 Seconds (Album Version)","7 Seconds: The Best Of Youssou N'Dour",291711
7450750,"Jimi Hendrix",4,210,32,"Hey Joe","Experience Hendrix: The Best Of Jimi Hendrix",671848
7459240,"Eric Benét",3,276,9842,"Spend My Life With You","A Day In The Life",673067
7571532,"Vienna Studio Project",2,277,506868,"28 degrés à l'ombre","Romantic Instrumental Hits",682281
7591000,"Mia.",1,416,52791,"Sweet November","Sweet November",683995
7615002,"Inna",1,234,143513,"Never Stop Your Dancing (Radio Edit Techno Version)","Never Stop Your Dancing",686250
7632493,"David Bowie",203,178,365,"The Laughing Gnome","David Bowie",687389
7651112,"Eminem",1,229,262,"Drop The World","Drop The World",689424
7668632,"Lata Mangeshkar",3,184,17715,"Tu Door Hai Aankhonse Mere Dilko Yeh Gam Hai Aaja (Shair)","Essential Collection: Classic Hits of Lata Mangeshkar",690985
7677620,"Iced Earth",5,287,52613,"Melancholy","The Blessed And The Damned",691809
7706710,"Mariliana Montereale, Loriana Lana, Coro Regina dei Gigli",8,138,505045,"Cin Cin Cin Cinesin","Il Mondo Nello Zainetto",694219
7721753,"Strapping Young Lad",6,157,40180,"We Ride","Alien",695666
7722228,"Modern Talking",3,221,3049,"Brother Louie","25 Years Of Disco-Pop",695573
7722324,"Modern Talking",202,213,3049,"Sexy Sexy Lover (Vocal Version)","25 Years Of Disco-Pop",695573
7724572,"The Declining Winter",10,109,517363,"Hey EFD (Instrumental)","Haunt the Upper Hallways",695836
7728335,"Chayanne",1,213,15407,"Me Enamoré de Ti (Bachata Version)","Me Enamoré de Ti",696048
7737710,"Renaud",4,166,14855,"Mistral gagnant","Mistral Gagnant",696959
7741108,"Owl City",1,194,298144,"Fireflies","Fireflies",697322
7745879,"Whitney Houston",4,237,1925,"Saving All My Love for You","Whitney Houston (The Deluxe Anniversary Edition)",697713
7782206,"David Bowie",12,194,365,"Fantastic Voyage (Live)","A Reality Tour",701090
7785670,"Snatam Kaur and GuruGanesha Singh",2,660,1259336,"Liberation's Door","Liberation's Door",701791
7792810,"Marduk",1,159,147088,"Panzer Division Marduk","Panzer Division",702473
7871389,"Norah Jones",4,189,360,"That's What I Said (The NYC Remix by Adrock and Mike D)","Chasing Pirates Remix EP",709816
7876681,"Bob Sinclar",4,200,5649,"World, Hold On","Noah's Arc Soundtrack",710295
7902105,"The Who",17,343,75,"Eminence Front","The Who- The Greatest Hits &amp; More",712353
7930186,"Azra",6,194,461358,"Hic Sevdinmi?","Azrabesk",714961
7930595,"Prinz Porno",3,218,467703,"Jung, Schön &amp; Stylish feat. Justus","Blackbooked No. 2 - Jung, schön und stylish",715013
7961041,"Unheilig",4,230,252602,"Geboren um zu leben","Grosse Freiheit",718098
8005812,"Twinkle Twinkle Little Rock Star",10,238,494017,"Weird Fishes Arpeggi (made famous by &quot;Radiohead&quot;)","Lullaby Versions Of Radiohead",722235
8053454,"Resurrection Baptist Church Mass Choir",2,320,358176,"Let's Celebrate","Let's Celebrate",726756
8071211,"Marko Nastic",1,491,359951,"Roll The Dice","Roll The Dice",728587
8087693,"Fleetwood Mac",9,191,4703,"Not That Funny","Tusk",730063
8087978,"Peter Gabriel",8,230,7134,"The Book Of Love","Scratch My Back",730087
8135102,"Iced Earth",1,287,52613,"Melancholy (holy Martyr)","The Melancholy EP",734423
8147405,"Jag Panzer",11,236,52622,"Future Shock (demo)","The Fourth Judgement",735402
8169708,"Lucian Ban &amp; Asymmetry",7,468,550569,"Silence","Playground",737400
8193539,"Moonspell",11,344,52612,"Mephisto","Lusitanian Metal",739597
8197111,"We Were Gentlemen",11,251,378709,"Repetitive Desolation","Living Hell",739932
8203581,"Kenny Chesney",12,209,2188,"No Shoes, No Shirt, No Problems","Greatest Hits II",740372
8221446,"Dragonforce",2,407,54576,"Fury Of The Storm","Sonic Firestorm",742589
8237695,"Maceo Parker",8,576,45072,"What Id Say","Roots &amp; Grooves",744218
8237711,"Maceo Parker",208,499,45072,"Shake Everything You Got/Extended Version (Bonus Track)","Roots &amp; Grooves",744218
8249573,"The Stranglers",1,226,380,"Retro Rockets","Retro Rockets",745401
8259259,"Elvis Presley",12,151,2200,"Happy, Happy Birthday Baby [Reprise #2] (Private Home Recordings - Eddie Fadal Residence, Waco Texas - May 1958)","Off Duty With Private Presley",746234
8281232,"Meat Loaf",9,283,409,"Bat Out of Hell","100 Hits Of The '70s",747617
8281414,"Tina Charles",29,184,25426,"I Love to Love","100 Hits Of The '70s",747617
8282220,"Wham!",1,232,25311,"Wake Me up Before You Go-Go","100 Hits Of The '80s",747605
8282226,"Cyndi Lauper",2,234,11319,"Girls Just Wanna Have Fun","100 Hits Of The '80s",747605
8282242,"Europe",4,239,44547,"The Final Countdown","100 Hits Of The '80s",747605
8282245,"Survivor",5,226,37981,"Eye of the Tiger","100 Hits Of The '80s",747605
8282267,"Terence Trent D'Arby",9,276,40486,"Sign Your Name","100 Hits Of The '80s",747605
8282338,"Starship",21,269,2208,"Nothing's Gonna Stop Us Now","100 Hits Of The '80s",747605
8282354,"Toto",24,263,16683,"Africa","100 Hits Of The '80s",747605
8282416,"Johnny Logan",36,183,61234,"Hold Me Now (Album Version)","100 Hits Of The '80s",747605
8282465,"The Pointer Sisters",44,233,2249,"I'm so Excited","100 Hits Of The '80s",747605
8282623,"Milli Vanilli",59,239,162343,"Girl You Know It's True","100 Hits Of The '80s",747605
8282630,"Nena",61,229,9020,"99 Red Balloons","100 Hits Of The '80s",747605
8282726,"Modern Talking",72,201,3049,"You're My Heart, You're My Soul (Mix '84)","100 Hits Of The '80s",747605
8282741,"Sabrina",74,234,43981,"Boys (Summertime Love)","100 Hits Of The '80s",747605
8282784,"Dead Or Alive",81,200,21389,"You Spin Me Round (Like a Record)","100 Hits Of The '80s",747605
8282862,"Marvin Gaye",92,240,27,"Sexual Healing","100 Hits Of The '80s",747605
8282885,"Air Supply",96,229,1919,"All Out of Love","100 Hits Of The '80s",747605
8291935,"Rod Lee",18,149,146105,"Tina's Theme","Vol. 3: Operation Shut Em Down",748893
8314984,"Eddie %u201CThe Sheik%u201D Kochak",5,120,561613,"Tabla Solos / Zils, Tabla, Hel-ah-wah","Strictly Belly Dancing Volume 2",751014
8326026,"Cardo &amp; Elia",2,429,286124,"Yep Yop Yap","Yep Yop Yap / Sports Bear",752182
8332859,"DJ ReMix Factory",7,180,330736,"Get ready For This (ReMixed) (As Made Famous by 2 Unlimited)","Retro Hits ReMixed",752816
8339630,"Amy MacDonald",7,212,43474,"My Only One","A Curious Thing",753386
8354591,"Diana Rig",1,528,414928,"So Delighted","So Delighted",754802
8354596,"Diana Rig",2,362,414928,"So Delighted","So Delighted",754802
8357068,"Blind Guardian",7,189,83157,"The Bard's Song: In The Forest (Remastered)","Somewhere Far Beyond",755088
8363612,"Beverly Hills",18,173,564994,"Up Town Girl","Beverly Hills California Dreaming",755585
8363636,"Change The World",6,214,564995,"World Hold On","Yes We Can Change The World",755586
8412573,"Laura Marling",1,218,131086,"Devil's Spoke","I Speak Because I Can",759829
8412622,"Manowar",2,225,4329,"Kings Of Metal","Kings Of Metal",759832
8412623,"Manowar",3,311,4329,"Heart Of Steel","Kings Of Metal",759832
8412626,"Manowar",5,290,4329,"The Crown And The Ring (Lament Of The Kings)","Kings Of Metal",759832
8417132,"Manowar",10,450,4329,"Blood Of The Kings","Kings Of Metal",759832
8439383,"Manowar",9,316,4329,"Black Wind, Fire And Steel","Fighting The World",762332
8449090,"Alain Chamfort",210,270,18764,"Adieu mon bébé chanteur / Madona, Madona / C'est la même chanson","Double vie",763042
8449121,"Alain Chamfort",15,216,18764,"Madona, Madona","L'amour en France",763045
8467880,"Take That",7,209,3216,"Shine","Kids Party Pac",764864
8493940,"Kent",1,226,3318,"Dom Andra","Dom Andra",767019
8494529,"Inna",3,300,143513,"Hot","Hot",767162
8502560,"Akon",23,204,1573,"I Wanna Fuck U (feat. Akon)","30 Days",767924
8541863,"Orca",8,480,471384,"Sad Movies","June",771544
8565188,"Justin Bieber",1,214,374352,"Baby","My World 2.0",773916
8570799,"Foo Fighters",7,260,8293,"My Hero","The Colour And The Shape",774447
8572639,"Amit Kumar / Alka Yagnik",5,241,577682,"Hum Tum Rahenge Akele","Hamari Bahu Alka",774669
8572650,"Kanchan",3,354,421352,"Boond Boond Karke","Meetha Zehar",774671
8573166,"Sleeping With Sirens",1,219,576712,"If I'm James Dean, You're Audrey Hepburn","With Ears To See And Eyes To Hear",774726
8580344,"Selena Gomez &amp; The Scene",13,175,425576,"Tell Me Something I Don't Know","Kiss &amp; Tell",775403
8602464,"Aline Barros",10,239,90352,"Tempo de Mudar","O melhor da música Gospel",777142
8622919,"Johnny Cash",5,172,1448,"Man In Black","Man In Black",779139
8636260,"Giti",2,244,370902,"Jus Google Me","Jus Google Me",780482
8649979,"Jeff Beck",6,366,16824,"Serene","Emotion &amp; Commotion",781934
8683354,"The Magic Makers",9,260,580191,"Who Says You Cant Go Home","Ultimate 2000's Pop Jams",784851
8684976,"Hardrock Striker",9,452,353060,"Metallika","Kick Out the 12's",785015
8701820,"Johnny Cowell",6,198,587530,"Playful trumpets: Playful Trumpets","The Art of Johnny Cowell",786354
8707993,"Glee Cast",1,240,354421,"Express Yourself (Glee Cast Version)","Glee: The Music, The Power Of Madonna",786811
8763393,"Daddy Yankee",2,174,8862,"Descontrol (Album Version)","Daddy Yankee Mundial",792168
8792132,"Richard Durand",2,311,249398,"Always The sun","Always The Sun",795045
8807889,"Green Day",4,262,610,"Boulevard Of Broken Dreams (Feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company)","The Original Broadway Cast Recording 'American Idiot' Featuring Green Day",796155
8834868,"Kenny G",1,300,2031,"Songbird","Songbird: The Best Of Kenny G",798481
8836395,"Billy Ocean",4,245,1218,"Caribbean Queen (No More Love on the Run)","The Very Best Of Billy Ocean",798728
8851887,"Nikonn",15,225,178459,"Fragile","Huvefen Fushi Maldives by Ravin",800123
8887648,"UltraMegaSupaDeadly",3,23,599626,"Hello,Is It Hell You're Looking For?","UltraMegaSupaDeadly",803946
8894314,"Jamie Cullum",11,266,1078,"Gran Torino","I Am Relaxed",804646
8921388,"The Academy Allstars",11,265,594217,"Lose Yourself","Loose Yourself - Music From: 8 Mile",806857
8954523,"Ceca Raznatovic",2,471,494423,"02.Ceca-Roden_Sa_Greskom","Emotivna Luda",809772
8959049,"Lady Antebellum",1,235,108305,"Need You Now","Need You Now",810108
8971010,"Exploited",10,137,112051,"Exploited Barmy Army","Truly Exploited",811681
8986925,"2 Brothers On The 4th Floor",2,314,249802,"Come Take My Hand  (Extended Version)","Come Take My Hand",813186
8989557,"La Polla Records",11,185,127147,"Salve","Salve",813463
9016566,"Ritchie Valens",2,128,5029,"La Bamba","La Bamba",816006
9040350,"Sandrine Erdely-Sayo",1,109,609787,"Platero and I: I. Platero","Sandrine Erdely-Sayo: Platero and I",818260
9075228,"Lucia",2,295,100950,"La Isla Bonita (Radio Version)","La Isla Bonita",821993
9078646,"Rhapsody",2,287,352842,"Dawn Of Victory","Dawn Of Victory",822397
9078649,"Rhapsody",3,346,352842,"Triumph For My Magic Steel","Dawn Of Victory",822397
9078666,"Rhapsody",7,261,352842,"Holy Thunderforce","Dawn Of Victory",822397
9078804,"Luca Turilli",1,302,612360,"Demonheart","Demonheart",822417
9078936,"Rhapsody",5,260,352842,"Emerald Sword","Tales From The Emerald Sword Saga (Best Of) CD",822428
9082714,"Shakira",1,203,21239,"Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)","Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)",822604
9093385,"Eminem",1,251,262,"Not Afraid","Not Afraid",823826
9099904,"Sabaton",3,295,147097,"Uprising","Coat Of Arms",824562
9104923,"Mägo de Oz",3,382,43333,"La Rosa De Los Vientos","Belfast",824960
9105024,"Mägo de Oz",3,254,43333,"Molinos De Viento","A Coste Da Morte",824969
9105117,"Mägo de Oz",1,267,43333,"El Lago","Mägo de Oz",824977
9107504,"The Colts",1,169,336194,"Adorable","Adorable (Digital 45) - Single",825189
9126355,"Lena",1,176,36401,"Satellite","My Cassette Player",827212
9136348,"Ellinor Skagegård &amp; 5th Season",9,221,616314,"Friends","First Time",828004
9152135,"Mario Biondi",13,294,319109,"Cry Anymore","If",830328
9173368,"Benny Dayal",1,331,399689,"Naane Indhiran","Singam (Original Motion Picture Soundtrack)",831526
9189368,"Riblja Corba",2,218,472145,"01 - Pogledaj Dom Svoj Andjele","Najbolje i bolje od najboljeg",833215
9189410,"Riblja Corba",218,380,472145,"09 - Pravila, Pravila","Najbolje i bolje od najboljeg",833215
9189419,"Riblja Corba",222,276,472145,"11 - Kazi Ko Te Ljubi Dok Sam Ja Na Strazi","Najbolje i bolje od najboljeg",833215
9223279,"Ivan Ilic",1,109,320430,"Chopin- Prelude in E minor Opus 28","Fugitive Visions - Piano Masterworks by Chopin and Liszt",836669
9241235,"Giuseppe Verdi",20,187,114947,"Turandot: Nessun Dorma","101 Greatest Classics - Vol. 1",838472
9257977,"Fazil Say",1,207,9179,"I got plenty o' nuttin - Porgy and Bess","Rhapsody in Blue",839857
9259855,"Jack Johnson",1,193,1613,"You And Your Heart","To The Sea",840029
9259889,"Jack Johnson",10,243,1613,"Red Wine, Mistakes, Mythology","To The Sea",840029
9263364,"Sitti",1,229,39781,"Soft Melody","Soft Melody",840461
9268774,"Frank Sinatra",1,208,2101,"I've Got You Under My Skin","Frank Sinatra",840973
9268783,"Frank Sinatra",2,174,2101,"Come Fly With Me","Frank Sinatra",840973
9268835,"Frank Sinatra",7,151,2101,"Last Call for Love","Frank Sinatra",840973
9307035,"Slash",8,367,146136,"Sweet Child of Mine (Made Famous by Guns N Roses)","Classical Works - Past &amp; Present",844912
9313016,"Christina Aguilera",15,258,216,"You Lost Me","Bionic",844980
9342224,"Franco Tufano",5,236,109789,"Dove si vola","All the Hits 2010",848045
9433652,"Craig Torrance &amp; Philip Hochstrate",1,481,648343,"Surgery Successful","Surgery Successful",856471
9491234,"Prague Castle Guard and Police Orchestra",33,107,2159780,"Festive Fanfare: Festive Fanfare","The Music for Festive Occaisions",861462
9512047,"R. Kelly",6,321,606,"I Believe I Can Fly","Playlist: The Very Best Of R. Kelly",862937
9512055,"R. Kelly",14,185,606,"Religious (Explicit Version)","Playlist: The Very Best Of R. Kelly",862937
9512282,"Juan Gabriel",8,159,37591,"Adorable Mentirosa","Mis Favoritas",862990
9512438,"Dixie Chicks",7,229,30037,"Landslide","Playlist: The Very Best Of The Dixie Chicks",863023
9554207,"David Bowie",3,283,365,"Sound And Vision (David Richards 1991 Remix)","Sound And Vision Remix E.P.",866559
9566570,"Poets Of The Fall",11,284,224473,"Maybe Tomorrow Is a Better Day","Carnival of Rust",867648
9575273,"Necropsycho",6,504,332246,"Horor Stricken","Feel the Pain",868469
9577283,"Drake",15,258,342562,"Best I Ever Had","Thank Me Later",868640
9578867,"Iron Maiden",3,320,1252,"Mother Of Mercy","The Final Frontier",868778
9585236,"Avenged Sevenfold",9,481,9128,"A Little Piece Of Heaven","Avenged Sevenfold",869544
9585295,"Avenged Sevenfold",3,289,9128,"Scream","Avenged Sevenfold",869570
9589692,"The Mighty Hardys",6,240,680745,"You're the One Girl","No War",870052
9625643,"Trevor Wesley",4,255,2181050,"Poetry In Motion (feat. Trevor Wesley)","Patience",873542
9635083,"Various Artists",5,162,209,"Wherever You Go, Whatever You Do","Roaring 20's Revue Vol. 3",874466
9646410,"Placebo",6,90,23,"Meds (feat. Alison Mosshart)","Best Of The Bands 2",875690
9647800,"Yanni",208,229,1649,"In The Morning Light","The Essential Yanni",875788
9660801,"Eminem",7,248,262,"Not Afraid","Recovery",877264
9660803,"Eminem",9,300,262,"No Love","Recovery",877264
9660804,"Eminem",10,279,262,"Space Bound","Recovery",877264
9660805,"Eminem",11,279,262,"Cinderella Man","Recovery",877264
9660806,"Eminem",12,242,262,"25 To Life","Recovery",877264
9660809,"Eminem",15,263,262,"Love The Way You Lie","Recovery",877264
9673793,"The Corrs",14,206,592,"Angel","Dreams - The Ultimate Corrs Collection",878525
9720770,"Jack Daw",5,299,702529,"Severe severe severe","Jack Daw",882959
9787057,"Joe Dassin",213,180,113432,"Vade Retro","Best Of  L'Album Souvenir",888486
9794265,"Håkan Hellström",5,231,23632,"Kom Igen Lena!","Samlade Singlar! 2000-2010",889449
9794553,"The Museum",1,221,579020,"My Help Comes from the Lord","Premiere Performance Plus: My Help Comes From The Lord",889481
9800411,"DJ Khaled",1,349,285749,"All I Do Is Win (Remix)","All I Do Is Win (Remix)",890238
9821674,"Calientes",5,290,713596,"Pero Yo Canto (Willy William Remix Extended)","Pero Yo Canto",892166
9824411,"Agnes",1,256,21632,"Release Me","Dance Love Pop",892379
9888359,"Enrique Iglesias",1,504,1455,"I Like It","I Like It",898708
9894809,"Angel's music box",9,243,703978,"teddy bear","Orugoru Collection Ayumi Hamasaki",899163
9905302,"Hans Zimmer",12,276,9855,"Time","Inception",900021
9930080,"Gogol Bordello",9,290,25093,"Start Wearing Purple","Gogol Bordello Live At Maxwell's 04/25/2004",902513
9932918,"Vasco Rossi",22,209,1851,"Vita Spericolata (Live In London)","Vasco London Instant Live",902891
9937065,"Aretha Franklin",3,168,1982,"Chain of Fools","Aretha Franklin",903322
